1.60E+07,P,2,1,4.20564400e+01,4.20841152e+01,,,,
1.60E+07,K,2,1,2.17955189e+00,2.13725659e+00,,,,
1.60E+07,h,2,1,0.0014045078929595324,-0.0026988649411930432,,,,
1.60E+07,k,2,1,0.012592853386790994,0.02307509829717708,,,,
1.60E+07,P,2,2,1.19561403e+01,1.19552102e+01,,,,
1.60E+07,K,2,2,1.56363263e+00,1.61927832e+00,,,,
1.60E+07,h,2,2,-0.00071749990125806646,0.002729210306399452,,,,
1.60E+07,k,2,2,0.013197881728251438,0.022737850709382633,,,,
1.60E+07,C,2,0,-1.20435099e+00,-1.16913412e+00,,,,
1.60E+07,J,2,0,1.09152674e+00,1.10866884e+00,,,,
